inquiry_id,user_id,procedure_id,created_at,clinic_id
663,1338,24,2014-08-23,16
668,532,1,2014-09-08,3
1371,727,24,2014-04-29,3
1446,2657,15,2014-08-31,2
2031,1602,1,2014-11-11,34
2163,119,1,2014-11-14,3
2871,25,37,2014-09-09,48
2946,24,37,2014-10-22,8
107,2975,1,2014-08-08,16
175,1364,45,2014-08-16,8
266,160,37,2014-09-10,1
307,1174,37,2014-08-01,1
439,197,1,2014-07-31,1
446,651,37,2014-08-19,3
924,2792,1,2014-11-03,7
1306,573,1,2014-04-10,8
1429,129,15,2014-07-05,36
1607,2658,53,2014-09-05,16
1766,284,53,2014-07-15,34
1807,1722,53,2014-09-24,48
1946,2860,1,2014-10-29,16
2806,2450,45,2014-10-17,48
2881,1571,53,2014-07-19,42
2927,388,24,2014-09-01,1
2929,62,24,2014-09-28,2
187,1668,45,2014-09-23,4
395,707,37,2014-07-03,34
655,2574,45,2014-09-30,16
728,2880,37,2014-06-21,1
885,908,37,2014-07-31,34
1374,2054,53,2014-07-04,7
1687,2569,53,2014-09-21,1
1705,2300,37,2014-06-04,48
1895,1219,24,2014-08-21,34
1943,1386,53,2014-08-22,16
1980,1138,24,2014-10-25,5
2039,1508,1,2014-11-17,1
2175,1784,24,2014-07-06,26
2508,1215,53,2014-06-20,1
2776,173,1,2014-08-24,48
2859,2557,1,2014-07-11,8
173,86,1,2014-06-18,40
201,969,1,2014-08-03,4
926,2784,53,2014-06-29,3
1365,2044,53,2014-08-11,48
1610,2812,53,2014-05-29,19
1673,1119,37,2014-09-10,16
2257,270,24,2014-10-23,1
2426,1564,37,2014-10-27,4
2554,1062,37,2014-11-13,1
2865,2488,1,2014-06-04,4
159,54,53,2014-09-12,16
276,31,1,2014-07-26,4
397,2481,37,2014-09-01,8
1092,2050,53,2014-11-16,1
1343,1758,53,2014-09-11,4
1542,2395,53,2014-04-29,12
1776,2016,53,2014-11-09,1
2059,2934,1,2014-06-21,8
2592,2708,37,2014-07-09,48
2843,2292,53,2014-09-08,16
2845,2619,1,2014-06-15,5
2847,1862,24,2014-07-31,4
905,1224,37,2014-08-22,8
1110,2163,1,2014-11-04,1
2405,781,37,2014-04-25,5
2584,2990,1,2014-11-06,3
57,773,37,2014-09-15,14
244,2309,1,2014-08-17,3
754,984,37,2014-07-27,1
1099,1712,37,2014-08-27,1
1249,1354,45,2014-10-17,8
1493,2802,24,2014-10-12,1
2226,2858,1,2014-11-02,8
2599,2244,53,2014-11-17,4
2749,1367,53,2014-07-31,42
2891,1017,53,2014-10-27,4
2993,1075,15,2014-08-18,4
308,1456,1,2014-08-13,2
1071,2384,24,2014-05-09,15
1796,1927,24,2014-10-26,48
2571,1601,37,2014-04-04,4
2617,1834,24,2014-11-20,8
2667,509,15,2014-11-11,34
2765,923,53,2014-11-16,3
278,1713,15,2014-09-04,19
291,2048,24,2014-09-22,1
671,2794,1,2014-10-21,4
1136,2082,45,2014-06-29,16
1336,2022,24,2014-08-22,16
1778,2184,37,2014-04-20,19
1791,2813,37,2014-11-26,7
2600,1881,24,2014-08-18,16
2814,1443,45,2014-11-15,16
2836,29,37,2014-08-31,3
2985,2380,45,2014-05-24,2
46,1002,37,2014-08-01,7
515,1107,53,2014-09-23,3
1107,2284,1,2014-05-12,28
1632,2079,37,2014-09-05,34
1903,427,45,2014-06-10,1
2543,1165,15,2014-06-22,1
2607,1115,45,2014-11-04,8
2633,2432,24,2014-07-17,16
26,2377,53,2014-09-06,1
578,1241,37,2014-08-23,34
629,2875,45,2014-07-17,42
725,2631,37,2014-10-27,44
871,2476,53,2014-09-17,48
908,436,37,2014-11-11,2
1058,2898,45,2014-09-09,48
1535,1643,24,2014-05-18,4
1748,916,37,2014-04-24,1
2078,417,53,2014-06-20,3
2129,1807,24,2014-08-19,16
2225,642,45,2014-08-25,8
2408,484,45,2014-07-22,16
2734,168,45,2014-09-29,19
2976,1098,37,2014-09-05,16
98,1732,53,2014-09-10,1
1150,275,37,2014-09-22,8
1531,194,24,2014-10-22,1
1997,1558,37,2014-04-11,16
2196,533,37,2014-07-18,38
2570,1544,1,2014-05-04,5
2572,2675,37,2014-05-07,4
2581,2364,1,2014-04-13,42
2906,788,15,2014-06-21,6
2972,464,1,2014-11-12,3
1134,2293,1,2014-07-14,8
1380,737,1,2014-07-30,4
2097,1658,1,2014-07-22,5
2559,831,45,2014-04-25,21
2634,2404,1,2014-11-13,3
2686,1647,15,2014-10-10,1
2880,1111,24,2014-10-17,34
23,757,15,2014-08-12,9
219,2803,53,2014-07-26,4
1342,1619,45,2014-10-04,7
1523,1496,37,2014-10-09,7
1753,2609,1,2014-08-11,45
1927,1053,45,2014-06-11,3
2489,653,24,2014-08-23,34
2842,2456,1,2014-09-08,34
2896,1848,37,2014-10-12,48
185,733,45,2014-09-10,8
340,789,53,2014-07-28,48
520,2168,53,2014-07-31,3
594,1238,37,2014-08-07,16
1512,2824,37,2014-11-28,8
1685,2776,37,2014-06-02,16
2030,1060,1,2014-10-29,1
2145,1683,24,2014-05-19,16
2374,294,37,2014-10-11,16
2467,212,1,2014-09-24,4
2951,2918,1,2014-10-26,32
1386,2445,37,2014-05-04,48
2497,1308,24,2014-11-25,4
2654,1274,1,2014-10-04,7
2886,2586,45,2014-09-30,16
166,196,1,2014-07-01,48
2036,603,1,2014-10-19,1
2091,460,24,2014-06-29,8
2133,1312,53,2014-11-25,3
2835,2797,53,2014-10-16,3
165,1733,53,2014-09-30,3
617,622,53,2014-08-07,1
781,2952,1,2014-11-09,46
790,1401,15,2014-05-04,3
1082,307,45,2014-11-18,16
1131,1190,24,2014-10-12,2
1754,2281,53,2014-10-12,1
2290,1849,1,2014-05-18,16
2442,1129,1,2014-06-21,1
2505,1317,53,2014-05-01,6
21,2256,1,2014-08-18,4
246,1536,37,2014-09-12,18
293,241,45,2014-07-24,11
579,301,37,2014-07-25,7
679,162,24,2014-10-29,8
712,1426,24,2014-10-15,13
821,2444,37,2014-11-08,8
1144,2325,37,2014-10-01,1
1750,242,37,2014-05-24,7
2212,2412,24,2014-08-04,2
2321,289,1,2014-07-04,7
2577,505,53,2014-04-14,19
139,1670,24,2014-08-01,16
664,687,24,2014-07-25,1
829,224,15,2014-06-23,5
1569,2288,53,2014-04-26,39
1639,1092,53,2014-07-25,1
2851,1482,15,2014-10-11,3
598,2688,37,2014-09-10,11
609,1961,37,2014-09-15,13
612,1486,37,2014-08-19,48
690,148,37,2014-09-20,4
811,1340,37,2014-10-26,1
1076,1267,53,2014-09-21,3
1086,1979,1,2014-04-16,16
1173,1394,37,2014-05-23,34
2005,2059,15,2014-08-23,1
2009,120,37,2014-10-04,7
2109,1023,1,2014-10-30,13
2190,841,1,2014-11-16,1
2311,1146,1,2014-10-28,16
2586,2006,37,2014-11-13,16
2614,1880,1,2014-11-22,16
2673,2962,1,2014-11-20,7
2700,2400,1,2014-11-17,1
287,2540,53,2014-07-10,32
825,1437,1,2014-10-30,40
1135,1097,37,2014-07-11,4
1445,465,53,2014-09-30,25
1732,2753,24,2014-11-16,16
2635,2733,1,2014-06-24,16
2824,2682,45,2014-06-11,4
2945,1855,24,2014-11-28,16
80,2017,1,2014-09-26,4
184,1176,24,2014-09-18,3
751,1547,37,2014-07-24,1
1580,489,1,2014-05-27,1
1901,941,24,2014-11-13,4
2412,2874,1,2014-07-24,19
389,2349,37,2014-09-25,8
1274,1734,24,2014-10-30,3
92,2013,24,2014-07-28,48
2587,248,1,2014-05-14,3
2658,2695,37,2014-10-19,3
927,934,45,2014-10-07,1
1271,2744,24,2014-06-06,4
1985,797,53,2014-09-08,3
2021,359,37,2014-06-21,4
2533,2357,45,2014-11-07,4
2746,2359,37,2014-09-24,34
2771,2394,45,2014-11-09,3
705,2769,15,2014-10-17,45
760,2530,37,2014-06-12,4
772,650,24,2014-09-08,1
1097,437,1,2014-11-22,48
1230,1597,1,2014-11-12,34
1241,588,24,2014-04-15,40
1976,55,53,2014-08-01,1
2205,340,37,2014-06-09,17
2260,411,53,2014-08-29,8
2272,1546,1,2014-06-03,30
2384,453,37,2014-09-29,1
2597,537,45,2014-10-08,48
2741,1908,1,2014-04-15,36
2947,2743,1,2014-10-02,4
560,2703,45,2014-09-29,4
602,715,37,2014-07-23,8
1181,2728,37,2014-06-16,40
1340,174,1,2014-04-22,3
2102,2685,53,2014-05-18,16
2681,830,24,2014-11-07,1
2724,2867,24,2014-09-02,16
2840,2245,53,2014-06-20,6
2995,2877,24,2014-11-20,1
142,1117,37,2014-07-26,34
290,972,1,2014-08-10,1
622,2649,15,2014-08-10,48
1633,2949,37,2014-06-21,48
1642,2831,45,2014-05-29,8
1790,1124,37,2014-06-02,34
2122,88,45,2014-11-26,4
249,2541,37,2014-07-30,3
434,1985,1,2014-09-23,7
915,2955,37,2014-06-10,8
1267,1540,1,2014-11-25,16
1456,1061,37,2014-10-14,8
1966,2061,37,2014-07-05,4
2211,1035,24,2014-08-25,1
2457,1967,15,2014-11-20,8
2469,2500,53,2014-04-27,36
2544,753,1,2014-04-29,24
2641,938,24,2014-10-17,4
2767,582,24,2014-07-13,1
792,13,24,2014-06-27,19
794,1125,1,2014-10-24,34
1113,33,24,2014-10-05,16
1994,158,37,2014-11-05,48
2237,1842,24,2014-10-22,7
2294,2508,37,2014-05-12,16
2613,2833,37,2014-07-16,34
2795,2398,24,2014-06-14,2
65,1603,15,2014-09-29,24
137,1899,53,2014-09-15,16
140,319,15,2014-08-13,48
237,1163,1,2014-08-10,9
1255,1649,24,2014-05-15,4
1872,1495,24,2014-05-15,7
2089,1568,1,2014-11-03,46
2547,1480,1,2014-11-02,6
2619,403,45,2014-10-27,16
2887,1148,37,2014-11-06,16
70,607,37,2014-08-10,19
118,360,53,2014-07-05,34
181,2883,1,2014-08-07,4
268,2221,1,2014-09-23,16
537,1208,37,2014-08-10,1
631,446,24,2014-09-13,33
1125,2489,53,2014-06-29,16
1190,156,1,2014-09-15,4
1570,1768,37,2014-10-17,49
1618,1698,53,2014-06-16,16
1690,2379,24,2014-10-17,1
1764,100,53,2014-05-01,8
2131,1012,37,2014-10-06,4
2358,2027,37,2014-09-18,48
2522,2723,1,2014-10-21,4
2625,914,1,2014-08-20,41
2690,1417,53,2014-10-25,1
2804,624,15,2014-10-08,4
2989,2759,37,2014-05-10,4
149,1491,45,2014-09-01,48
1462,2295,1,2014-09-07,37
1649,147,24,2014-11-23,8
1795,718,15,2014-06-20,16
1817,1977,53,2014-08-05,45
2962,998,24,2014-11-25,3
859,903,1,2014-10-22,4
1124,1657,1,2014-08-28,34
1466,2778,1,2014-09-28,20
2159,719,24,2014-11-13,4
2276,2881,37,2014-05-06,16
2359,2029,1,2014-11-26,7
2410,635,37,2014-10-19,8
2440,658,45,2014-09-20,7
2591,2971,24,2014-06-04,16
2624,252,53,2014-11-15,3
2712,1952,37,2014-09-12,16
2794,1739,37,2014-07-20,3
2966,2991,37,2014-06-29,5
38,228,37,2014-07-05,2
916,2302,24,2014-07-12,48
1101,2033,24,2014-04-05,34
1221,364,24,2014-04-21,3
2416,1888,53,2014-11-09,4
2511,1398,15,2014-08-11,1
2716,819,1,2014-08-12,16
2721,329,1,2014-06-05,16
2853,2215,45,2014-07-30,6
547,515,45,2014-07-26,6
627,2712,1,2014-09-07,33
917,2071,53,2014-10-30,16
1411,475,37,2014-07-23,23
2047,1418,15,2014-11-12,16
2204,1409,37,2014-08-04,3
2417,258,1,2014-08-06,4
2964,69,53,2014-04-20,1
192,1068,37,2014-07-31,1
194,815,15,2014-08-08,4
734,2240,37,2014-08-30,16
1384,1331,1,2014-08-04,16
1655,1944,24,2014-06-21,34
1692,2139,37,2014-10-18,34
1694,835,24,2014-07-24,48
2162,1310,15,2014-11-22,3
2234,1420,53,2014-11-07,4
177,2690,53,2014-08-01,4
635,182,45,2014-07-05,10
1132,1960,24,2014-10-13,1
1207,1059,37,2014-10-29,4
1677,1155,37,2014-11-16,4
1955,929,37,2014-11-04,48
2054,2212,37,2014-11-23,48
2135,1941,24,2014-10-29,3
2498,1991,1,2014-06-27,16
2632,2007,53,2014-11-19,34
2714,932,45,2014-08-11,48
54,614,37,2014-08-23,34
216,357,1,2014-07-17,5
888,420,37,2014-08-13,3
961,1082,24,2014-06-27,5
1213,539,37,2014-04-12,3
1370,1666,1,2014-07-20,1
1554,2774,37,2014-10-28,19
2255,2942,24,2014-10-14,5
2461,2693,53,2014-11-14,3
2870,1393,53,2014-07-01,5
239,2078,37,2014-09-17,7
632,2851,24,2014-07-26,4
1219,1832,24,2014-05-30,1
1372,1708,1,2014-05-04,3
1686,978,37,2014-11-07,34
2132,1686,53,2014-05-04,1
2322,554,53,2014-07-05,7
2719,74,45,2014-11-10,48
88,843,24,2014-08-16,1
267,164,53,2014-08-31,8
646,265,53,2014-08-23,48
855,600,1,2014-09-11,8
1643,1996,24,2014-11-12,3
1767,2661,1,2014-04-24,16
2146,2154,1,2014-11-10,2
2932,146,24,2014-10-17,7
158,1343,1,2014-09-23,48
257,1404,37,2014-09-07,7
771,219,37,2014-08-07,3
1142,2226,53,2014-10-04,3
1961,1819,37,2014-11-29,34
2271,244,53,2014-04-07,5
2324,2285,1,2014-09-20,23
2500,1798,24,2014-07-08,34
2539,1940,1,2014-10-04,7
2642,2837,45,2014-08-23,48
25,1818,53,2014-07-31,17
1175,2600,37,2014-06-28,3
1492,2308,37,2014-09-05,4
2992,1754,45,2014-05-29,7
294,1684,45,2014-08-01,6
519,39,53,2014-07-11,3
592,2382,37,2014-07-28,3
719,451,37,2014-10-27,49
1501,2701,1,2014-08-23,4
1794,23,37,2014-05-25,8
2019,673,37,2014-08-27,34
2101,2092,1,2014-11-20,16
2284,2220,37,2014-09-01,7
2802,1090,1,2014-05-15,34
82,134,53,2014-07-30,19
117,2917,53,2014-08-07,48
1385,1222,1,2014-08-02,16
1422,690,37,2014-10-27,7
1751,1033,53,2014-11-01,16
1981,368,45,2014-10-13,4
2748,1402,53,2014-04-03,6
2812,1412,24,2014-10-24,1
2885,1375,24,2014-07-01,4
504,2534,53,2014-09-07,16
563,64,1,2014-07-19,4
836,2280,1,2014-10-19,48
2063,2969,53,2014-08-13,48
2113,2726,37,2014-05-12,19
2935,2260,37,2014-11-14,16
211,2907,1,2014-07-01,6
1166,2414,1,2014-06-06,3
1251,913,24,2014-05-24,19
2579,1041,45,2014-08-19,1
2666,1114,1,2014-11-10,1
2751,179,1,2014-04-04,9
2879,226,1,2014-04-07,1
1346,1563,1,2014-10-26,9
2585,2638,53,2014-11-15,4
2846,2362,45,2014-10-17,8
178,38,37,2014-09-20,1
995,1782,53,2014-06-09,16
1678,933,37,2014-09-26,1
1698,968,53,2014-09-11,16
1965,547,37,2014-05-16,7
2081,1289,15,2014-10-04,4
2495,1817,15,2014-09-09,16
2986,2152,53,2014-06-22,3
511,155,53,2014-09-21,16
1279,1103,24,2014-05-04,5
1509,601,45,2014-07-19,1
1604,874,15,2014-05-23,1
2209,1024,53,2014-11-13,8
2319,1870,1,2014-04-28,7
2626,2929,15,2014-10-19,1
2723,1269,37,2014-07-15,3
2903,131,45,2014-06-10,1
2984,1250,1,2014-06-01,1
458,2887,15,2014-07-01,16
590,885,37,2014-08-01,1
827,680,1,2014-11-28,7
2090,1644,37,2014-11-21,16
2316,245,53,2014-05-13,16
2327,1982,37,2014-11-26,4
2394,2275,45,2014-10-23,1
2758,2681,37,2014-08-06,48
288,470,45,2014-09-10,16
846,2610,53,2014-11-15,1
1138,2155,15,2014-06-10,1
1357,1455,1,2014-04-30,8
2264,900,24,2014-07-01,20
2346,21,53,2014-05-16,16
2594,2514,37,2014-09-06,34
2638,2777,53,2014-06-02,16
2913,2583,45,2014-11-14,34
6,1634,37,2014-10-09,4
383,2604,37,2014-07-05,7
1028,1659,1,2014-05-17,18
1257,104,1,2014-09-05,4
1506,1638,53,2014-11-26,1
1727,3,53,2014-11-19,20
1806,1781,24,2014-06-19,16
2528,536,37,2014-09-17,20
2757,1463,1,2014-10-09,8
2760,247,15,2014-08-25,16
2882,2528,53,2014-08-22,4
385,387,37,2014-09-15,7
552,2268,1,2014-09-15,5
620,2012,24,2014-09-10,25
1367,2522,24,2014-09-24,1
2137,115,1,2014-05-04,48
2150,1169,37,2014-10-18,8
2518,2585,45,2014-11-26,48
2867,2064,45,2014-04-14,1
59,1786,1,2014-08-01,1
303,2551,37,2014-07-05,38
462,561,1,2014-08-26,8
692,1355,37,2014-10-17,17
1026,1690,37,2014-06-23,16
1803,1993,53,2014-11-03,3
2065,221,37,2014-07-11,3
2526,2611,53,2014-11-16,48
2708,285,53,2014-10-18,4
2822,1423,24,2014-06-29,8
47,2725,37,2014-09-07,9
206,2171,1,2014-07-10,4
959,2698,37,2014-11-21,34
1035,936,53,2014-06-01,1
1127,2344,1,2014-06-10,48
1431,1414,1,2014-07-17,20
1547,2251,37,2014-05-30,7
2169,1201,24,2014-06-08,31
2201,698,37,2014-06-15,49
2386,300,15,2014-05-08,3
2535,1247,15,2014-11-03,4
2627,802,53,2014-10-14,20
2931,2914,24,2014-06-15,3
2971,558,37,2014-08-21,4
89,759,15,2014-09-07,34
311,1077,24,2014-08-26,1
440,419,53,2014-09-06,1
1811,2727,53,2014-09-24,34
1940,276,24,2014-05-17,2
2073,493,1,2014-11-16,16
2106,2983,37,2014-11-09,8
2248,1151,37,2014-08-08,4
2850,1923,45,2014-09-01,16
2883,572,45,2014-07-10,4
3,966,1,2014-05-27,16
281,2431,53,2014-09-14,41
388,2045,37,2014-08-13,4
823,854,37,2014-10-29,19
900,333,37,2014-06-29,7
1161,2318,37,2014-07-12,8
1503,2810,45,2014-10-29,34
2323,1158,45,2014-08-21,7
2400,2094,1,2014-10-09,48
2514,967,53,2014-11-20,4
2694,2825,53,2014-11-08,4
43,2019,24,2014-09-22,31
208,121,1,2014-09-18,4
363,2486,24,2014-09-17,8
1031,1279,24,2014-07-21,16
1034,2920,45,2014-10-25,34
1195,987,15,2014-04-28,48
1453,1729,15,2014-06-12,9
1543,2656,53,2014-11-17,4
2534,1211,37,2014-08-11,1
2566,1917,1,2014-10-22,3
2695,2848,45,2014-10-01,8
2953,338,53,2014-04-12,16
2996,2823,53,2014-09-07,4
108,308,24,2014-07-26,1
168,2009,24,2014-05-05,48
238,356,45,2014-09-26,1
305,302,1,2014-09-15,34
449,860,37,2014-09-17,41
630,1688,37,2014-08-12,34
1608,1663,45,2014-05-24,2
1738,1516,37,2014-10-17,16
2034,2840,1,2014-08-27,34
2130,2515,53,2014-10-09,5
2312,45,15,2014-08-30,8
2431,1239,37,2014-11-20,7
2455,2517,24,2014-08-06,7
567,2531,24,2014-09-17,7
600,2493,37,2014-09-23,31
1115,1821,53,2014-09-30,4
1348,1517,15,2014-04-13,4
1529,2869,45,2014-08-22,4
1995,1955,37,2014-10-21,4
2100,2375,24,2014-11-16,3
273,870,53,2014-07-31,7
603,1131,37,2014-08-12,19
817,1549,37,2014-09-06,34
1761,2161,15,2014-08-31,15
1987,1271,37,2014-11-28,16
2074,273,53,2014-06-21,3
2295,2213,1,2014-04-10,4
2460,711,1,2014-08-07,7
562,1462,53,2014-07-03,3
2062,883,37,2014-10-19,8
2066,2737,53,2014-06-10,7
2553,1809,37,2014-06-30,1
2784,2369,24,2014-04-10,2
803,2590,24,2014-08-19,6
866,1566,37,2014-11-04,21
991,1542,24,2014-06-12,16
2265,636,1,2014-07-23,2
2303,1889,53,2014-11-02,4
2366,443,1,2014-11-14,3
2680,2167,53,2014-11-08,16
1112,180,24,2014-05-16,20
1424,2391,37,2014-09-15,34
1674,2417,37,2014-10-03,34
1801,124,53,2014-06-04,48
1930,1502,1,2014-10-13,34
2208,68,15,2014-06-25,22
2612,1091,53,2014-05-18,8
2924,189,15,2014-10-04,34
593,813,37,2014-09-05,27
1130,2679,1,2014-08-28,1
1250,313,45,2014-08-28,34
1539,529,37,2014-08-04,8
1725,2636,37,2014-10-20,16
1938,1179,1,2014-08-12,16
1993,1134,37,2014-09-05,41
2003,424,1,2014-10-22,3
2006,2363,15,2014-11-04,3
2630,2238,45,2014-10-04,2
2715,171,24,2014-04-28,20
2861,2103,24,2014-04-10,34
2987,982,45,2014-04-14,34
5,2827,15,2014-05-19,16
742,647,37,2014-09-23,16
1118,2967,1,2014-08-02,34
1187,2335,24,2014-07-28,4
1228,2119,15,2014-08-14,1
1310,1295,53,2014-11-16,3
1439,2963,53,2014-06-06,4
1505,1083,53,2014-04-30,23
1918,1962,37,2014-11-08,16
2242,1304,37,2014-10-30,8
2618,639,1,2014-11-08,1
2728,2762,45,2014-11-12,16
2939,899,53,2014-10-20,3
529,1767,45,2014-08-03,4
1459,316,24,2014-10-14,4
2029,2341,1,2014-10-22,46
2439,1136,15,2014-10-13,8
2808,2775,1,2014-10-17,4
2959,1164,24,2014-09-24,16
203,1916,1,2014-08-19,4
941,1792,53,2014-04-29,40
1025,169,1,2014-10-17,4
1644,2561,24,2014-10-28,1
1703,1,1,2014-11-25,4
1908,175,37,2014-04-06,16
1971,2766,37,2014-10-18,8
2464,821,37,2014-07-09,48
393,2947,37,2014-09-29,3
1083,864,37,2014-06-23,6
1625,1197,37,2014-06-17,40
2270,111,1,2014-10-04,1
2372,546,1,2014-11-13,3
2565,563,37,2014-11-10,5
2583,1313,53,2014-11-23,16
2910,472,1,2014-09-18,48
74,1873,15,2014-09-07,35
1332,2645,37,2014-05-18,16
1341,750,45,2014-08-30,48
1574,393,1,2014-11-28,9
1740,264,37,2014-07-27,16
2705,1748,53,2014-06-16,48
236,346,53,2014-09-01,5
652,2170,24,2014-09-17,31
695,1182,37,2014-09-29,7
850,1716,53,2014-06-23,4
1309,2597,1,2014-05-21,48
1415,1935,37,2014-06-12,1
1483,394,37,2014-05-19,16
2152,396,1,2014-06-28,4
2350,2853,1,2014-11-21,8
2809,2449,45,2014-09-18,16
2915,2957,1,2014-06-27,1
2981,2135,45,2014-10-02,5
2983,1185,1,2014-06-30,1
193,1372,1,2014-09-06,4
346,2336,53,2014-09-10,1
454,2465,37,2014-09-10,16
775,2233,15,2014-07-25,16
1606,2172,1,2014-06-17,1
1906,1799,37,2014-11-13,34
1954,482,45,2014-08-02,1
2275,1587,1,2014-07-13,4
640,852,53,2014-08-13,16
838,1288,37,2014-09-20,16
1301,2717,1,2014-06-12,8
1417,1975,37,2014-06-10,9
1910,2420,37,2014-11-28,4
2140,728,45,2014-11-01,1
2338,325,37,2014-06-29,50
2354,257,15,2014-08-06,3
2646,2314,37,2014-07-17,16
2801,2650,1,2014-06-24,1
183,2903,1,2014-09-21,1
851,1236,45,2014-10-04,6
1179,1352,37,2014-10-20,6
1683,2689,37,2014-09-20,48
2014,2313,37,2014-10-26,8
37,2147,15,2014-08-07,4
442,1078,37,2014-07-26,48
616,1118,1,2014-08-19,16
834,2204,45,2014-05-17,2
1601,1527,45,2014-09-05,16
1718,1869,37,2014-11-08,34
1970,678,37,2014-08-17,16
2116,1069,45,2014-11-03,3
2334,645,37,2014-08-28,3
220,1277,24,2014-09-03,8
641,1718,53,2014-09-25,11
928,2030,1,2014-08-06,8
1407,12,53,2014-09-01,4
1491,1863,1,2014-09-21,2
1584,1147,53,2014-06-22,34
2041,157,1,2014-11-07,16
2422,525,53,2014-04-17,1
2428,1895,37,2014-11-19,9
2907,910,53,2014-09-02,16
63,721,53,2014-08-26,1
1096,1901,1,2014-04-18,48
1139,2605,24,2014-11-18,16
1515,1702,37,2014-09-28,7
2231,1576,53,2014-10-13,4
2561,1332,53,2014-11-07,34
2596,2448,24,2014-11-11,7
2639,770,1,2014-11-16,48
8,1319,53,2014-08-16,3
667,1254,24,2014-10-17,4
1401,188,37,2014-05-16,16
1508,2182,53,2014-04-15,29
1950,1490,45,2014-10-02,6
2373,414,37,2014-11-13,4
2901,1447,1,2014-06-25,7
145,1925,24,2014-09-29,16
780,1072,1,2014-10-23,7
987,1957,53,2014-09-20,4
1645,1853,53,2014-11-19,3
2187,2497,45,2014-07-10,7
2487,919,24,2014-11-02,1
2792,1424,53,2014-07-07,1
500,1959,53,2014-05-08,48
774,1903,37,2014-10-29,3
1421,256,37,2014-11-27,4
